TimeStamp,,,,TimeStamp,,Specification,Values_N,Unit,,TimeStamp_N
,,,,,,,,,,00:00.1
,,,,,,,,,,00:00.2
14:19:25.679 -> Flow rate: 0.00 L/m,,,,19:25.7,->,Flow rate:,0,L/m,,00:00.3
14:19:25.775 -> Flow rate: 0.00 L/m,,,,19:25.8,->,Flow rate:,0,L/m,,00:00.4
14:19:25.869 -> Flow rate: 0.00 L/m,,,,19:25.9,->,Flow rate:,0,L/m,,00:00.5
14:19:25.976 -> Flow rate: 0.00 L/m,,,,19:26.0,->,Flow rate:,0,L/m,,00:00.6
14:19:26.058 -> Flow rate: 0.00 L/m,,,,19:26.1,->,Flow rate:,0,L/m,,00:00.7
14:19:26.184 -> Flow rate: 875.00 L/m,,,,19:26.2,->,Flow rate:,8.75,L/m,,00:00.8
14:19:26.263 -> Flow rate: 0.00 L/m,,,,19:26.3,->,Flow rate:,0,L/m,,00:00.9
14:19:26.373 -> Flow rate: 0.00 L/m,,,,19:26.4,->,Flow rate:,0,L/m,,00:01.0
14:19:26.467 -> Flow rate: 8.33 L/m,,,,19:26.5,->,Flow rate:,8.33,L/m,,00:01.1
14:19:26.561 -> Flow rate: 0.00 L/m,,,,19:26.6,->,Flow rate:,0,L/m,,00:01.2
14:19:26.655 -> Flow rate: 41.67 L/m,,,,19:26.7,->,Flow rate:,41.67,L/m,,00:01.3
14:19:26.781 -> Flow rate: 58.33 L/m,,,,19:26.8,->,Flow rate:,58.33,L/m,,00:01.4
14:19:26.876 -> Flow rate: 66.67 L/m,,,,19:26.9,->,Flow rate:,66.67,L/m,,00:01.5
14:19:26.971 -> Flow rate: 75.00 L/m,,,,19:27.0,->,Flow rate:,75,L/m,,00:01.6
14:19:27.065 -> Flow rate: 66.67 L/m,,,,19:27.1,->,Flow rate:,66.67,L/m,,00:01.7
14:19:27.160 -> Flow rate: 66.67 L/m,,,,19:27.2,->,Flow rate:,66.67,L/m,,00:01.8
14:19:27.255 -> Flow rate: 66.67 L/m,,,,19:27.3,->,Flow rate:,66.67,L/m,,00:01.9
14:19:27.368 -> Flow rate: 75.00 L/m,,,,19:27.4,->,Flow rate:,75,L/m,,00:02.0
14:19:27.461 -> Flow rate: 66.67 L/m,,,,19:27.5,->,Flow rate:,66.67,L/m,,00:02.1
14:19:27.555 -> Flow rate: 66.67 L/m,,,,19:27.6,->,Flow rate:,66.67,L/m,,00:02.2
14:19:27.697 -> Flow rate: 66.67 L/m,,,,19:27.7,->,Flow rate:,66.67,L/m,,00:02.3
14:19:27.791 -> Flow rate: 66.67 L/m,,,,19:27.8,->,Flow rate:,66.67,L/m,,00:02.4
14:19:27.870 -> Flow rate: 75.00 L/m,,,,19:27.9,->,Flow rate:,75,L/m,,00:02.5
14:19:27.966 -> Flow rate: 66.67 L/m,,,,19:28.0,->,Flow rate:,66.67,L/m,,00:02.6
14:19:28.060 -> Flow rate: 66.67 L/m,,,,19:28.1,->,Flow rate:,66.67,L/m,,00:02.7
14:19:28.155 -> Flow rate: 66.67 L/m,,,,19:28.2,->,Flow rate:,66.67,L/m,,00:02.8
14:19:28.249 -> Flow rate: 66.67 L/m,,,,19:28.2,->,Flow rate:,66.67,L/m,,00:02.9
14:19:28.391 -> Flow rate: 75.00 L/m,,,,19:28.4,->,Flow rate:,75,L/m,,00:03.0
14:19:28.486 -> Flow rate: 66.67 L/m,,,,19:28.5,->,Flow rate:,66.67,L/m,,00:03.1
14:19:28.580 -> Flow rate: 66.67 L/m,,,,19:28.6,->,Flow rate:,66.67,L/m,,00:03.2
14:19:28.691 -> Flow rate: 66.67 L/m,,,,19:28.7,->,Flow rate:,66.67,L/m,,00:03.3
14:19:28.772 -> Flow rate: 66.67 L/m,,,,19:28.8,->,Flow rate:,66.67,L/m,,00:03.4
14:19:28.866 -> Flow rate: 75.00 L/m,,,,19:28.9,->,Flow rate:,75,L/m,,00:03.5
14:19:28.992 -> Flow rate: 66.67 L/m,,,,19:29.0,->,Flow rate:,66.67,L/m,,00:03.6
14:19:29.086 -> Flow rate: 66.67 L/m,,,,19:29.1,->,Flow rate:,66.67,L/m,,00:03.7
14:19:29.182 -> Flow rate: 66.67 L/m,,,,19:29.2,->,Flow rate:,66.67,L/m,,00:03.8
14:19:29.277 -> Flow rate: 58.33 L/m,,,,19:29.3,->,Flow rate:,58.33,L/m,,00:03.9
14:19:29.371 -> Flow rate: 66.67 L/m,,,,19:29.4,->,Flow rate:,66.67,L/m,,00:04.0
14:19:29.482 -> Flow rate: 58.33 L/m,,,,19:29.5,->,Flow rate:,58.33,L/m,,00:04.1
14:19:29.577 -> Flow rate: 50.00 L/m,,,,19:29.6,->,Flow rate:,50,L/m,,00:04.2
14:19:29.671 -> Flow rate: 58.33 L/m,,,,19:29.7,->,Flow rate:,58.33,L/m,,00:04.3
